Day,Count
2020-01-20,268
2020-01-21,419
2020-01-22,552
2020-01-23,817
2020-01-24,1285
2020-01-25,1988
2020-01-26,2774
2020-01-27,4552
2020-01-28,6034
2020-01-29,7789
2020-01-30,9783
2020-01-31,11917
2020-02-01,14526
2020-02-02,16803
2020-02-03,19914
2020-02-04,23906
2020-02-05,27623
2020-02-06,30833
2020-02-07,33909
2020-02-08,37132
2020-02-09,40533
2020-02-10,42767
2020-02-11,44817
2020-02-12,59952
2020-02-13,64172
2020-02-14,66900
2020-02-15,69046
2020-02-16,71231
2020-02-17,73260
2020-02-18,75138
2020-02-19,75670
2020-02-20,76202
2020-02-21,77274
2020-02-22,78633
2020-02-23,78990
2020-02-24,79774
2020-02-25,80419
2020-02-26,81383
2020-02-27,82792
2020-02-28,84158
2020-02-29,86572
2020-03-01,88374
2020-03-02,90301
2020-03-03,92138
2020-03-04,95088
2020-03-05,97760
2020-03-06,101611
2020-03-07,105865
2020-03-08,109751
2020-03-09,113921
2020-03-10,119125
2020-03-11,126258
2020-03-12,135784
2020-03-13,141401
2020-03-14,153963
2020-03-15,163611
2020-03-16,181831
2020-03-17,194651
2020-03-18,218397
2020-03-19,246305
2020-03-20,275978
2020-03-21,307681
2020-03-22,343373
2020-03-23,379459
2020-03-24,422043
2020-03-25,472328
2020-03-26,532761
2020-03-27,586286
2020-03-28,668353
2020-03-29,722296
2020-03-30,784946
2020-03-31,858823
2020-04-01,935969
2020-04-02,996540
2020-04-03,1022523
2020-04-04,1184632
2020-04-05,1262467
2020-04-06,1338915
2020-04-07,1417628
2020-04-08,1505211
2020-04-09,1592274
2020-04-10,1685412
2020-04-11,1766273
2020-04-12,1839720
2020-04-13,1909362
2020-04-14,1973206
2020-04-15,2055136
2020-04-16,2142512
2020-04-17,2231836
2020-04-18,2315213
2020-04-19,2394112
2020-04-20,2467417
2020-04-21,2551862
2020-04-22,2620733
2020-04-23,2698237
2020-04-24,2778552
2020-04-25,2883711
2020-04-26,2961316
2020-04-27,3032086
2020-04-28,3103761
2020-04-29,3181338
2020-04-30,3249762
2020-05-01,3338079
2020-05-02,3414912

